Date,Price,Open,High,Low,Change %
24-Dec-18,"4,042.00","3,910.80","4,188.10","3,910.80",3.36%
23-Dec-18,"3,910.80","3,949.20","4,016.00","3,889.00",-0.97%
22-Dec-18,"3,949.20","3,825.00","3,954.80","3,792.30",3.25%
21-Dec-18,"3,825.00","4,061.20","4,129.90","3,760.60",-5.82%
20-Dec-18,"4,061.20","3,683.30","4,118.40","3,656.90",10.26%
19-Dec-18,"3,683.30","3,614.10","3,905.30","3,587.80",1.91%
18-Dec-18,"3,614.10","3,517.20","3,618.50","3,435.80",2.76%
17-Dec-18,"3,517.20","3,226.90","3,591.10","3,213.60",9.00%
16-Dec-18,"3,226.90","3,218.60","3,286.60","3,196.70",0.26%
15-Dec-18,"3,218.60","3,222.10","3,259.70","3,162.10",-0.11%
14-Dec-18,"3,222.10","3,308.10","3,428.00","3,183.20",-2.60%
13-Dec-18,"3,308.10","3,445.60","3,451.10","3,249.50",-3.99%
12-Dec-18,"3,445.60","3,401.60","3,515.30","3,365.80",1.29%
11-Dec-18,"3,401.60","3,427.90","3,456.80","3,338.10",-0.77%
10-Dec-18,"3,427.90","3,552.20","3,596.70","3,394.60",-3.50%
09-Dec-18,"3,552.20","3,423.20","3,646.40","3,404.00",3.77%
08-Dec-18,"3,423.20","3,387.50","3,485.90","3,300.00",1.05%
07-Dec-18,"3,387.50","3,513.20","3,843.90","3,237.00",-3.58%
06-Dec-18,"3,513.20","3,772.00","3,897.00","3,513.20",-6.86%
05-Dec-18,"3,772.00","3,963.20","3,972.00","3,754.40",-4.82%
04-Dec-18,"3,963.20","3,925.10","4,081.40","3,801.00",0.97%
03-Dec-18,"3,925.10","4,171.40","4,181.10","3,750.00",-5.91%
02-Dec-18,"4,171.40","4,218.30","4,312.30","4,115.80",-1.11%
01-Dec-18,"4,218.30","4,053.00","4,373.30","3,980.00",4.08%
30-Nov-18,"4,053.00","4,292.60","4,346.60","3,948.20",-5.58%
29-Nov-18,"4,292.60","4,252.70","4,450.10","4,147.80",0.53%
28-Nov-18,"4,270.00","3,878.80","4,396.90","3,878.80",10.09%
27-Nov-18,"3,878.80","3,866.30","3,933.60","3,715.60",0.32%
26-Nov-18,"3,866.30","4,094.30","4,171.90","3,702.20",-5.57%
25-Nov-18,"4,094.30","3,958.60","4,216.30","3,655.50",3.94%
24-Nov-18,"3,938.90","4,421.70","4,508.90","3,828.50",-10.92%
23-Nov-18,"4,421.70","4,376.60","4,466.60","4,203.30",0.65%
22-Nov-18,"4,393.20","4,657.80","4,702.30","4,366.20",-5.78%
21-Nov-18,"4,662.60","4,563.50","4,781.60","4,392.40",2.17%
20-Nov-18,"4,563.50","4,922.80","5,030.80","4,340.80",-7.30%
19-Nov-18,"4,922.80","5,647.10","5,658.40","4,868.10",-12.81%
18-Nov-18,"5,645.80","5,613.90","5,717.10","5,613.90",0.60%
17-Nov-18,"5,612.00","5,652.30","5,669.30","5,551.70",-0.71%
16-Nov-18,"5,652.30","5,749.10","5,765.60","5,567.20",-1.38%
15-Nov-18,"5,731.70","5,862.20","5,906.90","5,428.80",-2.23%
14-Nov-18,"5,862.20","6,464.40","6,988.00","5,677.20",-9.32%
13-Nov-18,"6,464.40","6,437.10","6,514.90","6,404.50",0.57%
12-Nov-18,"6,428.00","6,450.30","6,479.40","6,411.20",-0.35%
11-Nov-18,"6,450.30","6,452.30","6,464.20","6,377.10",-0.13%
10-Nov-18,"6,458.50","6,414.90","6,480.80","6,414.90",0.68%
09-Nov-18,"6,414.90","6,489.90","6,522.90","6,412.00",-1.16%
08-Nov-18,"6,489.90","6,554.90","6,589.70","6,470.20",-0.99%
07-Nov-18,"6,554.90","6,491.70","6,603.00","6,491.70",1.00%
06-Nov-18,"6,490.20","6,438.00","6,637.80","6,425.00",0.81%
05-Nov-18,"6,438.00","6,452.30","6,486.50","6,425.00",-0.28%
04-Nov-18,"6,456.30","6,372.30","6,486.50","6,349.60",1.22%
03-Nov-18,"6,378.70","6,395.80","6,425.20","6,354.30",-0.27%
02-Nov-18,"6,395.80","6,384.90","6,436.80","6,377.60",0.04%
01-Nov-18,"6,393.00","6,372.90","6,417.80","6,285.30",0.00%
31-Oct-18,"6,392.80","6,360.20","6,404.80","6,284.40",0.51%
30-Oct-18,"6,360.20","6,362.00","6,394.00","6,300.60",-0.03%
29-Oct-18,"6,362.00","6,500.40","6,511.80","6,351.20",-2.11%
28-Oct-18,"6,499.40","6,518.30","6,550.90","6,477.60",-0.29%
27-Oct-18,"6,518.30","6,562.40","6,767.00","6,490.90",-0.67%
26-Oct-18,"6,562.40","6,574.60","6,590.40","6,518.30",-0.19%
25-Oct-18,"6,574.60","6,588.60","6,615.00","6,518.30",-0.21%
24-Oct-18,"6,588.60","6,558.20","6,638.90","6,542.70",0.46%
23-Oct-18,"6,558.20","6,585.90","6,638.90","6,527.20",-0.67%
22-Oct-18,"6,602.20","6,609.80","6,638.90","6,562.30",-0.12%
21-Oct-18,"6,609.80","6,583.20","6,665.60","6,583.00",0.40%
20-Oct-18,"6,583.20","6,546.50","6,766.10","6,533.60",0.56%
19-Oct-18,"6,546.50","6,730.60","6,730.60","6,533.60",-2.74%
18-Oct-18,"6,730.60","6,754.10","6,779.60","6,705.50",-0.35%
17-Oct-18,"6,754.10","6,749.40","6,820.40","6,700.00",0.07%
16-Oct-18,"6,749.40","6,752.50","6,861.40","6,697.00",-0.05%
15-Oct-18,"6,752.50","6,347.00","7,200.00","6,318.30",6.39%
14-Oct-18,"6,347.00","6,335.00","6,415.60","6,315.40",0.19%
13-Oct-18,"6,335.00","6,327.10","6,353.00","6,281.10",0.12%
12-Oct-18,"6,327.10","6,301.80","6,359.20","6,134.30",0.40%
11-Oct-18,"6,301.80","6,610.80","6,625.60","6,216.80",-4.68%
10-Oct-18,"6,610.80","6,642.20","6,665.30","6,481.70",-0.47%
09-Oct-18,"6,642.20","6,652.00","6,670.20","6,614.90",-0.15%
08-Oct-18,"6,652.00","6,605.40","6,821.70","6,573.00",0.71%
07-Oct-18,"6,605.40","6,581.40","6,617.00","6,535.00",0.36%
06-Oct-18,"6,581.40","6,636.20","6,656.40","6,535.00",-0.83%
05-Oct-18,"6,636.20","6,576.90","6,663.30","6,551.20",0.90%
04-Oct-18,"6,576.90","6,485.10","6,591.00","6,466.70",1.42%
03-Oct-18,"6,485.10","6,534.90","6,551.50","6,350.00",-0.76%
02-Oct-18,"6,534.90","6,576.20","6,622.20","6,516.90",-0.63%
01-Oct-18,"6,576.20","6,619.20","6,693.30","6,512.10",-0.65%
30-Sep-18,"6,619.20","6,600.80","6,638.10","6,346.60",0.28%
29-Sep-18,"6,600.80","6,639.70","6,639.70","6,300.00",-0.59%
28-Sep-18,"6,639.70","6,661.60","6,758.50","6,550.00",-0.33%
27-Sep-18,"6,661.60","6,457.70","6,700.00","6,277.80",3.16%
26-Sep-18,"6,457.70","6,411.60","6,524.90","6,379.50",0.72%
25-Sep-18,"6,411.60","6,592.90","6,592.90","6,312.50",-2.75%
